sqft_living,bathrooms,bedrooms,floors,yr_built,price
1340,1.5,3.0,1.5,1955,313000.0
1930,2.0,3.0,1.0,1966,342000.0
2000,2.25,3.0,1.0,1963,420000.0
1940,2.5,4.0,1.0,1976,550000.0
880,1.0,2.0,1.0,1938,490000.0
1350,2.0,2.0,1.0,1976,335000.0
2710,2.5,4.0,2.0,1989,482000.0
2430,2.5,3.0,1.0,1985,452500.0
1520,2.0,4.0,1.5,1945,640000.0
1710,1.75,3.0,1.0,1948,463000.0
2330,1.75,3.0,1.0,1980,588500.0
1090,1.0,3.0,1.0,1955,365000.0
1200,1.5,3.0,1.0,1965,242500.0
1570,1.5,3.0,1.0,1956,419000.0
3110,3.0,4.0,2.0,1997,367500.0
1370,1.75,3.0,1.0,1987,257950.0
1180,1.5,3.0,1.0,1983,275000.0
2240,1.75,3.0,2.0,1923,750000.0
1450,1.0,4.0,1.0,1954,435000.0
1750,2.25,3.0,2.5,2005,626000.0
2730,2.5,4.0,2.0,1991,612500.0
1600,1.75,4.0,1.0,1959,495000.0
2090,2.5,3.0,1.0,1987,285000.0
2360,1.75,3.0,1.0,1948,615000.0
2200,2.25,4.0,1.5,1920,698000.0
2820,2.5,5.0,2.0,1979,675000.0
2600,2.5,3.0,1.0,1951,790000.0
1560,1.75,4.0,1.0,1967,382500.0
2860,2.5,4.0,2.0,2004,499950.0
1820,2.0,4.0,1.5,1945,650000.0
2820,2.5,4.0,2.0,2014,625000.0
3630,2.5,4.0,1.5,1979,400000.0
3240,2.5,3.0,2.0,1995,604000.0
800,1.0,2.0,1.0,1944,440000.0
1850,3.0,3.0,1.0,1992,287200.0
1960,2.0,3.0,1.0,1957,403000.0
2390,2.5,3.0,1.0,1955,750000.0
1580,2.25,3.0,1.0,1978,335000.0
1480,2.0,4.0,1.0,1974,260000.0
850,1.0,2.0,1.0,1950,308500.0
1770,2.5,3.0,2.0,1990,439950.0
1210,1.0,2.0,1.0,1949,235000.0
1160,1.0,3.0,1.0,1968,315000.0
1970,2.25,3.0,2.0,1977,437500.0
1930,2.5,3.0,2.0,1996,407500.0
1270,2.5,3.0,3.0,2001,445700.0
3310,2.5,4.0,2.0,2001,838000.0
2710,2.75,4.0,2.0,2000,630000.0
2910,1.75,3.0,1.5,1979,550000.0
2710,2.0,3.0,1.5,1929,805000.0
1800,1.75,3.0,1.0,1968,284000.0
2210,2.5,5.0,1.0,1976,470000.0
1920,1.5,4.0,1.0,1954,430000.0
2190,1.75,4.0,1.0,1968,491500.0
3660,3.25,5.0,2.0,2006,785000.0
1320,3.25,3.0,2.0,2008,385000.0
1630,2.5,2.0,2.0,2009,295000.0
3310,2.5,4.0,2.0,2012,555000.0
2680,2.5,3.0,2.0,2013,459990.0
2730,3.25,4.0,1.0,2007,625000.0
2540,2.5,3.0,2.0,2006,300000.0
2920,2.75,4.0,2.0,2012,625000.0
900,1.0,2.0,1.0,1944,553000.0
1650,2.5,3.0,1.0,1986,379880.0
1010,1.0,3.0,1.0,1973,310000.0
2680,2.5,2.0,1.0,2004,775000.0
2200,2.5,3.0,1.0,1988,365000.0
2530,2.5,4.0,2.0,1990,331950.0
2850,2.5,3.0,2.0,1980,783500.0
2280,2.0,4.0,1.0,1900,628000.0
1900,2.5,3.0,2.0,1987,560000.0
1330,1.0,3.0,1.0,1928,900000.0
1270,3.0,2.0,2.0,2000,531000.0
2170,3.0,4.0,2.0,1982,831000.0
2730,2.5,4.0,2.0,1996,780000.0
2120,2.5,4.0,1.0,1960,755000.0
2490,2.5,3.0,2.0,2003,705380.0
1990,2.25,4.0,1.0,1973,627000.0
3690,3.0,4.0,2.0,1998,865000.0
2540,1.0,2.0,1.0,1942,580000.0
1800,2.25,3.0,1.0,1978,410000.0
2340,3.0,4.0,1.0,1979,485000.0
2110,1.75,2.0,1.0,1948,400000.0
1140,1.0,2.0,1.0,1908,549000.0
1480,1.75,3.0,2.5,2005,620000.0
1410,3.0,2.0,2.0,2006,405000.0
1200,1.0,2.0,1.0,1958,232000.0
3180,2.5,5.0,2.0,1990,800866.0
2160,1.5,3.0,1.0,1949,650000.0
2920,1.75,6.0,2.5,1908,823000.0
2350,2.0,3.0,1.5,1939,770000.0
1560,1.75,3.0,1.0,1944,524000.0
2740,2.75,5.0,1.0,1960,541125.0
1680,2.5,3.0,3.0,1909,670000.0
3090,2.5,5.0,1.0,1968,384900.0
1410,2.25,3.0,3.0,2005,406100.0
3180,2.5,4.0,2.0,2000,736500.0
2010,2.25,3.0,1.0,1975,570000.0
1330,1.75,3.0,1.0,1961,787000.0
2370,2.5,4.0,2.0,1998,328000.0
1840,2.0,5.0,1.0,1942,435000.0
2910,2.5,4.0,2.0,2006,499000.0
2070,1.0,4.0,1.0,1963,501000.0
4340,2.5,4.0,2.5,1992,1090000.0
840,1.0,2.0,1.0,1955,400000.0
1240,1.5,4.0,1.0,1971,220000.0
1390,1.0,4.0,1.0,1924,657100.0
2310,2.75,4.0,2.0,2006,309950.0
1050,2.0,3.0,1.0,1986,300000.0
2550,1.75,5.0,1.0,1960,525888.0
2010,1.75,4.0,1.5,1902,740000.0
1120,1.0,5.0,1.5,1962,340000.0
2230,2.5,3.0,2.0,1954,398750.0
810,1.0,2.0,1.0,1944,206000.0
3190,2.75,5.0,1.0,1976,1030000.0
1670,1.75,3.0,1.0,1976,600000.0
1970,1.75,4.0,1.0,1960,379950.0
1450,1.0,3.0,1.0,1953,287000.0
1880,2.5,3.0,2.0,1994,309950.0
1880,1.75,3.0,1.0,1945,600000.0
1410,2.0,3.0,1.5,1930,418000.0
1480,2.0,4.0,1.5,1928,449250.0
1140,1.0,2.0,1.5,1949,329950.0
1920,1.75,3.0,1.0,1984,245000.0
2910,2.5,4.0,2.0,2008,549000.0
3240,2.5,3.0,2.0,1994,800000.0
1550,2.0,3.0,1.0,1958,249950.0
2050,2.0,5.0,1.0,1956,210000.0
1770,1.0,2.0,1.5,1949,585000.0
2300,1.75,4.0,1.0,1977,615000.0
1800,2.0,3.0,1.0,1942,618500.0
2010,1.75,4.0,1.0,1977,487585.0
1790,2.5,3.0,2.0,2010,509900.0
2440,2.5,4.0,2.0,2014,631625.0
1940,2.5,3.0,2.0,2009,555000.0
1160,1.5,2.0,2.0,2001,340000.0
3400,2.5,4.0,2.0,2007,830000.0
4420,4.25,4.0,2.0,2006,890000.0
1571,3.0,3.0,3.0,2008,366750.0
1620,2.25,3.0,2.5,2010,415000.0
1408,2.5,3.0,3.0,2005,416286.0
3040,2.5,3.0,2.0,2007,478000.0
4490,3.5,5.0,2.0,2006,890000.0
1590,2.5,2.0,2.0,2014,419190.0
2450,2.5,4.0,2.0,2013,712198.0
1440,2.0,4.0,1.0,1971,397000.0
1100,2.0,2.0,1.5,1912,450000.0
1350,1.0,3.0,1.0,1947,353000.0
2150,2.5,4.0,2.0,1985,609000.0
1490,1.75,3.0,1.0,1975,234000.0
2000,2.0,3.0,2.0,1916,561000.0
1030,1.0,2.0,1.0,1924,469000.0
720,1.0,2.0,1.0,1942,329350.0
2020,2.0,5.0,1.5,1938,488000.0
1580,1.75,3.0,1.0,1962,279900.0
2110,2.5,4.0,2.0,1987,606000.0
1300,2.0,4.0,1.0,1950,312000.0
1630,1.5,3.0,1.0,1940,650000.0
3370,2.75,4.0,1.0,1970,1135000.0
1890,2.5,4.0,1.0,1980,325000.0
1520,2.0,4.0,1.0,1967,425000.0
900,1.0,2.0,1.0,1952,219000.0
1050,1.0,3.0,1.0,1954,250000.0
1260,1.75,3.0,1.0,1966,390000.0
3470,3.0,6.0,1.5,1924,475000.0
2290,2.5,4.0,2.0,1988,736000.0
2810,2.25,4.0,1.0,1958,407000.0
1650,2.5,3.0,2.0,1998,272000.0
1640,2.25,3.0,1.0,1963,362000.0
1850,2.5,3.0,2.0,1991,535000.0
2000,2.5,4.0,2.0,2003,284000.0
1410,1.5,3.0,1.0,1961,367500.0
1500,1.75,4.0,1.0,1955,379900.0
2460,2.5,3.0,2.0,1980,520000.0
1010,1.0,3.0,1.0,1954,175000.0
1230,2.25,2.0,2.0,2004,460000.0
2331,2.5,4.0,2.0,2007,345000.0
2240,2.5,5.0,1.0,1978,455000.0
2450,3.0,4.0,1.0,1967,610000.0
3100,3.0,4.0,2.0,1996,563000.0
2060,2.0,4.0,1.0,1949,612500.0
1850,1.75,3.0,1.0,1979,218000.0
1840,1.75,4.0,1.0,1958,404000.0
3740,2.0,4.0,2.0,2000,860000.0
1420,1.5,3.0,1.0,1962,136500.0
1510,1.0,3.0,1.0,1940,313950.0
2130,1.75,3.0,1.0,1954,575000.0
1630,1.75,3.0,1.0,1971,280000.0
1790,2.5,3.0,2.0,1989,515000.0
2000,2.5,4.0,2.0,1996,513000.0
2260,2.25,4.0,2.0,1977,599000.0
3030,2.5,4.0,2.0,1999,685000.0
1310,1.5,3.0,1.0,1950,365000.0
3880,2.5,4.0,2.0,1987,762300.0
3040,2.25,5.0,2.0,1984,562000.0
2910,2.5,5.0,1.0,1964,530000.0
2970,2.5,3.0,1.0,1995,525000.0
1660,1.75,2.0,1.0,1942,484000.0
3200,2.5,4.0,2.0,1998,725126.0
2680,2.0,4.0,1.0,1965,360000.0
1230,1.0,3.0,1.0,1962,387000.0
2740,2.5,4.0,2.0,1995,483500.0
3380,3.5,4.0,2.0,2000,655500.0
1110,1.0,3.0,1.0,1956,345000.0
1800,2.75,5.0,1.5,1926,533000.0
1900,1.75,3.0,1.0,1982,385000.0
930,1.0,2.0,1.0,1951,675000.0
1690,1.75,3.0,1.0,1976,197000.0
1420,2.0,3.0,1.5,1905,485000.0
1980,2.25,3.0,1.0,1974,295000.0
1170,1.75,2.0,1.0,1903,499000.0
2200,2.5,3.0,2.0,2008,1050000.0
800,1.5,3.0,1.0,1959,191000.0
1480,2.5,3.0,3.0,2006,500000.0
2890,3.75,5.0,1.0,2006,390000.0
2690,2.5,3.0,3.0,2014,979000.0
3569,3.25,4.0,2.0,2013,580000.0
1270,2.0,3.0,3.0,2006,369950.0
3040,2.5,4.0,2.0,2008,776000.0
1170,2.25,3.0,3.0,2014,519950.0
2060,2.25,5.0,1.0,1962,255000.0
990,1.0,3.0,1.0,1943,495000.0
2430,2.5,4.0,2.0,2003,510000.0
4460,4.0,4.0,2.0,2001,1150000.0
1250,1.75,3.0,1.0,1994,253000.0
1540,2.75,3.0,1.0,1980,503000.0
1600,2.5,3.0,2.0,1993,275000.0
1110,1.0,3.0,1.0,1952,249000.0
1840,1.75,3.0,1.0,1974,310000.0
2520,2.75,3.0,1.0,1946,750000.0
2680,2.5,3.0,2.0,1995,630000.0
3830,4.5,9.0,2.5,1938,599999.0
2410,2.75,4.0,1.0,1956,758000.0
1720,1.75,4.0,1.0,1960,248500.0
2070,1.75,3.0,1.0,1973,310000.0
1760,2.0,3.0,2.0,1985,460000.0
1680,1.75,3.0,1.0,1959,675000.0
1550,2.0,2.0,1.5,1900,526000.0
4120,3.0,3.0,2.0,1994,560000.0
1830,3.0,4.0,2.0,1991,415000.0
1400,1.0,3.0,1.0,1944,246000.0
1870,1.75,3.0,1.0,1957,314500.0
1040,1.5,2.0,1.5,1904,420000.0
2720,1.75,3.0,1.5,1988,535000.0
1010,1.0,3.0,1.0,1981,350000.0
1580,1.75,3.0,1.0,1967,515000.0
2600,2.75,4.0,2.0,1949,749950.0
1920,2.5,3.0,2.0,1988,230000.0
2350,2.0,3.0,1.5,1929,568000.0
1100,1.0,1.0,1.0,1947,250000.0
2510,2.0,4.0,1.0,1961,581000.0
3240,2.5,3.0,2.0,1991,651000.0
2460,2.5,3.0,1.0,1977,600000.0
1010,1.0,2.0,1.5,1906,500000.0
820,1.0,2.0,1.0,1921,475000.0
2420,2.5,5.0,1.0,1978,352000.0
1770,2.25,3.0,2.0,1977,420000.0
1350,2.0,2.0,1.0,2003,428000.0
1960,1.75,3.0,1.0,1920,599000.0
3305,2.5,4.0,1.5,1922,492000.0
2550,2.25,2.0,1.0,2011,630000.0
4130,3.75,5.0,2.0,1985,900000.0
2310,1.5,4.0,1.0,1950,1110000.0
1650,2.0,4.0,1.0,1955,575000.0
2650,2.5,4.0,1.5,1905,705000.0
1890,2.25,4.0,1.0,1963,940000.0
2190,1.75,3.0,1.0,1967,313000.0
2030,2.5,3.0,2.0,1988,618080.0
2270,3.0,3.0,2.0,2002,640000.0
1610,2.0,3.0,1.0,1917,485000.0
760,1.0,2.0,1.0,1913,300000.0
1640,1.0,2.0,1.0,1978,379500.0
1630,2.25,3.0,2.0,1985,339950.0
1940,2.5,3.0,1.0,1987,500000.0
1410,2.0,3.0,1.0,1985,239900.0
1040,1.0,3.0,1.0,1968,314950.0
820,1.0,2.0,1.0,1944,361280.0
910,1.0,2.0,1.0,1956,100000.0
3700,5.75,7.0,2.0,1948,540000.0
2180,2.5,4.0,1.0,1968,480500.0
1600,2.5,3.0,2.0,2000,280000.0
1500,1.75,3.0,1.0,1947,440000.0
1340,1.0,3.0,1.0,1910,530000.0
1860,2.0,3.0,1.0,1985,560000.0
2540,2.0,3.0,1.5,1905,775000.0
1040,1.0,2.0,1.0,1912,160000.0
1380,1.5,3.0,1.0,1960,209950.0
1640,1.75,3.0,1.0,1988,226500.0
3000,1.75,5.0,1.0,1958,380000.0
2140,2.75,4.0,1.0,1968,409500.0
1760,2.0,3.0,1.0,1942,690000.0
1660,2.25,3.0,1.0,1961,405000.0
1830,2.5,3.0,2.0,1990,375000.0
2210,2.0,4.0,1.0,1954,794154.0
1490,1.0,4.0,1.0,1969,185000.0
1260,1.5,3.0,2.0,2005,245000.0
3900,3.5,4.0,2.0,2006,1040000.0
1150,2.5,2.0,3.0,2008,425000.0
2656,2.75,4.0,2.0,2014,495000.0
2410,2.75,5.0,1.0,2008,365000.0
1606,2.25,3.0,3.0,2009,417250.0
820,1.0,2.0,3.0,2006,339950.0
